recipe_name,flavors,rating,success
Big Apple Crumble Cupcakes ,cinnamon cinnamon apple cinnamon vanilla,0,0
Bacon-Latticed Apple Pie ,apple lemon cinnamon nutmeg,0,0
Lemon and Fig Cupcakes ,vanilla lemon lemon fig vanilla,0,0
Toasted Coconut Chia Pudding ,almond coconut,0,0
Coconut-Strawberry Ice Cream Pie ,coconut graham coconut coconut strawberry strawberry lemon,4,0.1
Apple Walnut Bundt Cake ,walnut cinnamon apple vanilla caramel,4,0.1
Caramel Sauce and Glaze ,vanilla,0,0
Sweet Potato Sonker with Milk Dip ,apple vanilla,0,0
Peach Lassi Sorbet with Crushed Blackberries ,peach vodka honey blackberry lemon,0,0
Plum-Cardamom Crumble with Pistachios ,plum lemon lemon cinnamon pistachio,0,0
Ricotta Panna Cotta with Nectarines and Honey ,ricotta vanilla honey,0,0
Matcha–Chocolate Chip Cookies ,coconut coconut vanilla banana oat chocolate matcha,0,0
Matcha Coconut Ice Cream ,matcha coconut maple vodka vanilla coconut,0,0
Date Ice Cream (Buza ‘Ala-Tamr) ,rose cardamom date pistachio,2,0
Lemon and Lime Battenberg ,almond lemon lime lime,0,0
Out-of-This-World Cherry Pie ,cherry lemon,0,0
Cinnamon-Oat Peach Crisp ,peach oat cinnamon vanilla,4,0.1
Mini Strawberry Eton Mess ,strawberry,0,0
Blackberry Icebox Cake ,blackberry blackberry lemon vanilla,0,0
Matcha-Dipped Strawberries ,chocolate coconut matcha strawberry,0,0
Big-Batch Strawberry Compote ,strawberry lemon lemon,4,0.1
"Southern ""One-Cup"" Peach Cobbler ",peach lemon lemon vanilla vanilla,3.5,0.91
Rhubarb Custard Cake ,rum lemon rhubarb,3.5,0.83
Brioche au Rhum ,rum orange vanilla fig,0,0
Italian Sundaes with Nutella ,hazelnut,0,0
Tiramisù with Amaretti Cookies ,mascarpone rum coffee cocoa,0,0
Double-Decker Peanut Butter Brownies ,vanilla almond vanilla coconut cocoa pretzel,3,0.63
Chocolate Peanut Butter-Covered Cheez-It S'mores ,chocolate peanut cocoa marshmallow,4,0.1
Banana Coconut Muffins ,banana vanilla coconut,3.5,0.94
Mini Doughnut Muffins ,vanilla raspberry apricot,4,0.1
Giant Vanilla Donut Cake ,vanilla,2,0.67
Butterscotch–Potato Chip Balls ,vanilla,3.5,0.1
Coconut-Chocolate Icebox Cake with Toasted Almonds ,coconut almond coconut chocolate almond,0,0
Peanut Butter Fingers with Salty Milk Chocolate Glaze ,peanut vanilla chocolate,0,0
Strawberry-Rhubarb Galette with Buckwheat Crust ,rhubarb strawberry vanilla,4,0.1
Swirled Sesame Tea Cake ,cardamom tahini vanilla,0,0
Easy One-Bowl Cherry Upside-Down Cake ,lemon blueberry,2.5,0.1
The Coconut Cake ,coconut coconut coconut coconut,1,0
Apricot Coconut White Chocolate Pudding ,chocolate coconut apricot coconut pecan plum,0,0
Lemon Cheesecake ,lemon ricotta,0,0
Coconut Custard and Rhubarb Tart ,coconut coconut vanilla coconut coconut strawberry rhubarb lemon,2.5,0.67
Poppy Seed and Pecan Strudel ,pecan vanilla,3.5,0.1
Salted Caramel–Chocolate Tart ,cocoa chocolate,4,0.1
Mary's Panna Cotta with Red Wine Syrup ,honey pepper pomegranate,0,0
Mini Raspberry and Coconut Cream Tarts ,pecan coconut coconut date vanilla coconut coconut coconut raspberry raspberry cinnamon,1,0
Sweet Potato Rice Crispies ,vanilla cinnamon nutmeg pecan marshmallow,3,0.67
Hot Cocoa Cake ,vanilla coffee cocoa chocolate,3.5,0.1
Gluten-Free Chocolate-Tahini Brownies ,cocoa chocolate coconut tahini vanilla,3.5,0.1
Triple-Cherries Jubilee ,cherry cherry cherry vanilla orange brandy vanilla,3.5,0.89
Vanilla Heart Cakes with Rosewater Icing ,vanilla rose,0,0
Raspberry Chocolate Chip Scones ,coconut chocolate raspberry,3,0.1
Raspberry-Lemon Icebox Cake ,lemon raspberry,3.5,0.1
Meringue Sundae with Peppery Berry Sauce ,strawberry raspberry pepper vanilla basil,4,0.1
"Chocolate Chip, Peanut Butter, and Banana Cookies ",banana peanut vanilla oat chocolate,3.5,0.1
Molten Chocolate Chunk Brownies ,cocoa vanilla chocolate,4,0.1
One-Bowl Vanilla Cake ,vanilla,0,0
Classic Lemon Curd ,lemon lemon,0,0
Christmas Bombe with Spiced Cake and Chocolate-Brandy Glaze ,vanilla apricot cherry pistachio chocolate cinnamon orange clove nutmeg chocolate brandy,3,0.56
Gingerbread Brownies ,cocoa vanilla cinnamon ginger clove,2.5,0.75
Hot Chocolate Baked French Toast ,chocolate chocolate vanilla hazelnut,3.5,0.1
Leche Flan with Grapefruit ,,2,0
Spiced and Glazed Molasses Cookies ,ginger cinnamon clove pepper,4,0.1
Jam-Filled Challah Doughnuts ,,0,0
Hazelnut Lace Sandwich Cookies ,hazelnut maple vanilla blueberry lime,0,0
Blood Orange and Poppy Polenta Shortbread Cookies ,lemon orange vanilla orange,4,0.1
Bittersweet-Chocolate Truffles ,chocolate cocoa rum,0,0
Monkey Bread ,cinnamon caramel,4,0.1
Ube (Purple Yam) Candies ,lime,3,0.5
Frosted Malt-Chocolate Cookies ,chocolate cocoa vanilla,2.5,0.5
Not-Quite-Bonnie's Rugelach ,lemon vanilla walnut cinnamon lemon,0,0
Soft Gingerbread Tiles with Rum Butter Glaze ,cocoa ginger cinnamon clove pepper cinnamon lemon,3,0.1
Ricotta Cheesecake with Almond Praline ,ricotta lemon lemon vanilla almond,4,0.1
Simple Vanilla Jam Drops ,vanilla raspberry,4,0.1
Cinnamon Toast Bites ,cinnamon vanilla,3,0.63
